Girsu;Tell Jidr
Girsu;Jemdet Nasr
Girsu;LBB.568
Girsu;Nineveh
Girsu;HOC.539
Zurghul;Susa
Zurghul;Ur
Zurghul;UC.018
Zurghul;Tell Jidr
Zurghul;Jemdet Nasr
Zurghul;LBB.568
Zurghul;Nineveh
Zurghul;HOC.539
UC.453;UC.380
UC.453;UC.237
UC.237;Umm al-Ajjaj
Umm al-Ajjaj;Tell Abu Zumal
Tell Abu Zumal;UC.376
Umm al-Ajjaj;UC.185
Umm al-Ajjaj;UC.236
Umm al-Ajjaj;UC.370
UC.236;UC.370
UC.236;UC.237
Umm al-Ajjaj;UC.237
UC.370;UC.237
UC.236;UC.185
Umm al-Ajjaj;UC.185
UC.370;UC.185
UC.237;UC.185
UC.185;UC.187
UC.187;UC.191
UC.191;UC.193
Ur;UC.460
UC.460;UC.417
UC.460;UC.418
UC.417;UC.387
UC.418;UC.387
UC.387;UC.386
UC.386;UC.297
UC.297;UC.373
UC.373;UC.219
UC.373;UC.264
UC.373;Abu Ilba
UC.219;UC.218
UC.218;UC.203
UC.203;UC.201
UC.201;Abu Bott
Abu Bott;UC.179
Abu Bott;UC.185
UC.179;UC.178
UC.178;UC.173
UC.173;UC.167
UC.167;UC.166
UC.178;UC.174
UC.174;UC.167
UC.174;UC.173
UC.167;UC.018
UC.166;UC.018
UC.173;UC.086
Ur;Uruk
Uruk;UC.329
Uruk;UC.331
Uruk;UC.407
Uruk;UC.460
Uruk;UC.350
Uruk;Zurghul
Uruk;Susa
Uruk;Girsu
UC.331;UC.325
UC.325;UC.286
UC.286;UC.285
UC.285;UC.282
UC.282;UC.276
UC.282;UC.274
UC.274;UC.272
UC.272;UC.242
UC.242;UC.329
UC.242;UC.139
UC.139;UC.137
UC.331;UC.325
UC.331;UC.334
UC.334;UC.314
UC.314;UC.309
UC.309;UC.310
UC.310;UC.293
UC.293;UC.292
UC.292;UC.325
UC.293;UC.262
UC.293;UC.407
UC.293;UC.406
UC.264;Abu Ilba
Abu Ilba;UC.163
UC.163;UC.162
UC.162;Tell Jid
Tell Jid;UC.218
UC.218;UC.203
UC.203;UC.201
UC.262;UC.163
UC.256;UC.161
Duluk;Tilbes Höyük
UC.329;UC.338
UC.338;Uruk
UC.350;Uruk
UC.350;UC.338
UC.350;Ur
UC.329;Uruk
UC.338;Eridu
Eridu;Ur
Eridu;Zurghul
Eridu;Susa
UC.329;Tell Mismar
Tell Mismar;HOC.1615
UC.329;UC.242
Tell Mismar;HOC.1375
Tell Mismar;Abu Dhaba
Tell Mismar;Tell Uqair
HOC.1615;HOC.1375
HOC.1615;Abu Dhaba
HOC.1615;Tell Uqair
