site;lat;long
Tell Bi'a;35.9575;39.0475
Tell Bismar;31.8364726;45.4674483
Tell Bleibis;35.915957;38.760547
Tell Botnan;36.395337;37.539159
Tell Botnan;36.395337;37.539159
Tell Brak;36.667327;41.057934
Tell Chil Virane;36.942332;40.973353
Tell Dabach;36.9363;40.45865
Tell Dadikh;35.802845;36.736382
Tell Dalmaj;32.2300283;45.4850102
Tell Dibak;36.889077;40.611443
Tell Dlehim;31.9985219;45.4108987
Tell Dowayhis;45.5102924;32.0614138
Tell ech Chour Rharbi;36.845295;40.457241
Tell Echem;45.5971223;31.98954
Tell Ed-Dem;36.070136;44.960688
Tell Effendi;36.777295;40.698231
Tell el-'Abr;36.682785;38.079796
Tell Es-Sweyhat;36.16267;38.151403
Tell Fafine;36.205498;37.143428
Tell Fakhar;36.791532;41.964382
Tell Farho;36.784059;40.929942
Tell Fatme;36.767939;40.776944
Tell Feres al-Sharqi;36.443106;41.040591
Tell Feres;36.443106;41.040591
Tell Fiesal al-Mish'an 2;36.790194;42.239722
Tell Fleti N;36.281424;40.785703
Tell Fuhhar/Humeita;35.764095;39.698234
Tell Fuhhar;35.764095;39.698234
Tell Ghazal;36.822368;40.658621
Tell Ghazal Fouqani;36.78599;40.506684
Tell Guir Zil Kbir;36.82839;41.11467
Tell Gurgishah;33.7830478;44.8061089
Tell Hadidi;36.263683;38.150893
Tell Hadjar;36.730772;42.448832
Tell Hailane;36.17301;37.121591
Tell Hajib;36.59365;39.55978
Tell Halawa;33.4261194;44.4871689
Tell Halawa B;36.1186;38.092399
Tell Hamayama;32.1827169;45.5362107
Tell Hamoukar;36.812763;41.955971
Tell Hanoua;36.85048;40.63459
Tell Hassan;34.283856;44.998847
Tell Hassek;36.77286;40.56125
Tell Helawa;35.999327;43.788467
Tell Helib;33.5213501;44.4999461
Tell Hermel;36.90936;40.36192
Tell Imriyah;32.813551;44.5919109
Tell Imsefna;36.79329692;42.66132582
Tell Izhan;35.942297;36.486692
Tell Jamil;36.683067;40.606444
Tell Jamous;36.79638;40.19055
Tell Jerablus Tahtani;36.790106;38.021156
Tell Jhach;36.906353;40.788659
Tell Jid;31.5231457;45.742981
Tell Jidr;31.8183154;45.71448
Tell Jijane;36.412661;37.341299
Tell Judaidah;36.267497;36.5866
Tell Judeideh;36.16299;36.351176
Tell Kaffine;36.416417;37.04682
Tell Kazna;36.104693;43.792156
Tell Kahzna;36.104693;43.792156
Tell Khazna;36.104693;43.792156
Tell Kamuna;36.78104809;42.7413097
Tell Karmine;36.472008;37.060347
