UC.107;UC.071
UC.047;HOC.1355
UC.047;HOC.1353
UC.047;UC.174
UC.047;UC.173
Girsu;Umm al-Aqarib
Umm al-Aqarib;Umma/Jokha
Girsu;UC.174
Umma/Jokha;Said Mohammad
Umma/Jokha;Abu Jarabie
Umma/Jokha;Zabalam
Umma/Jokha;Tell Shmid
Tell Shmid;Zabalam
Said Mohammad;Abu Jarabie
Abu Jarabie;Tell Shmid
Abu Jarabie;Zabalam
Abu Jarabie;UC.167
Abu Jarabie;UC.173
Said Mohammad;UC.173
Abu Jarabie;UC.174
Said Mohammad;UC.174
Said Mohammad;UC.167
Tell Shmid;HOC.1448
Tell Shmid;HOC.1451
Tell Shmid;UC.167
Zabalam;HOC.1460
HOC.1460;HOC.1451
HOC.1460;Tell Shmid
HOC.1451;HOC.1448
HOC.1451;Tell Shmid
HOC.1451;UC.167
HOC.1448;Tell Barghasha
HOC.1172;HOC.1166
HOC.1428;HOC.1432
HOC.1432;HOC.1440
HOC.1205;HOC.1196
HOC.1205;HOC.1194
HOC.1216;HOC.1434
HOC.1216;HOC.1166
Tell al-Hayyad;HOC.1434
Tell al-Hayyad;HOC.1166
Tell al-Hayyad;HOC.1172
Tell al-Hayyad;HOC.1196
HOC.1428;HOC.1166
HOC.1020;HOC.790
HOC.1020;HOC.1072
HOC.1072;HOC.1131
HOC.1131;HOC.1129
HOC.1129;HOC.1194
HOC.1164;HOC.1165
HOC.1165;HOC.1166
HOC.1100;HOC.790
HOC.1194;HOC.1205
HOC.1196;HOC.1205
HOC.790;HOC.574
HOC.574;KIS.098
HOC.574;HOC.1353
HOC.574;HOC.1355
HOC.574;Umm al-Fugas
HOC.574;Nippur
HOC.574;Tell Ramadi
HOC.574;Nineveh
HOC.574;HOC.1615
KIS.098;Abu Salabikh
Abu Salabikh;Nippur
KIS.098;Tell Ramadi
UC.139;Ishan Bayt
UC.139;UC.329
UC.139;Tell Mismar
UC.161;Tell Mismar
UC.139;UC.161
UC.139;UC.155
UC.139;UC.119
UC.139;UC.071
UC.139;UC.107
UC.139;UC.077
UC.155;UC.161
UC.155;UC.119
UC.155;Ishan Bayt
UC.155;UC.071
UC.155;UC.107
UC.155;UC.077
Ishan Bayt;HOC.1375
HOC.1375;Tell Ramadi
HOC.1375;KIS.098
HOC.1375;HOC.1615
UC.139;HOC.1355
Nippur;Umm al-Fugas
Umm al-Fugas;Tell Dlehim
Tell Dlehim;HOC.1353
HOC.1353;HOC.1355
HOC.1355;Ishan Bayt
Nippur;HOC.1353
Nippur;HOC.1355
Tell Mismar;HOC.1615
HOC.1615;HOC.1375
HOC.1615;KIS.098
HOC.1615;Tell Ramadi
UC.237;UC.370
