lat;long
36.16267;38.151403
36.205498;37.143428
36.791532;41.964382
36.443106;41.040591
36.790194;42.239722
36.730772;42.448832
36.730772;42.448832
36.730772;42.448832
36.268322;38.256299
36.17301;37.121591
36.1186;38.092399
35.999327;43.788467
36.308709;36.444481
35.942297;36.486692
35.942297;36.486692
36.790106;38.021156
36.412661;37.341299
36.16299;36.351176
36.16299;36.351176
36.416417;37.04682
36.472008;37.060347
36.4667;37.15
36.427985;37.004827
36.427985;37.004827
36.427985;37.004827
36.332783;38.164718
36.332783;38.164718
36.95853;41.506266
36.95853;41.506266
36.44547;37.228729
36.25;37.45
36.75105;41.917969
36.173148;44.07549
34.555572;36.51879
36.377752;37.275072
36.43312;37.57267
36.343556;37.387706
36.90242;38.30212
36.800842;42.583467
36.800842;42.583467
36.787551;38.035968
36.566434;37.210782
36.43348;37.44129
35.306318;35.922203
35.306318;35.922203
35.306318;35.922203
36.248585;36.375734
36.248585;36.375734
36.416156;38.671485
36.86724;41.57534
36.243238;40.505866
31.342909;49.506996
35.447691;46.176544
35.459132;46.224646
32.068413;48.568049
35.71916621;47.8777948
34.160722;48.226642
35.455818;46.205434
35.455818;46.205434
35.515048;46.215912
36.154501;54.385235
36.154501;54.385235
32.041292;48.275403
35.460019;46.226114
32.304251;48.264339
32.143707;48.52418
32.285569;48.36564
32.239295;48.235716
32.175763;48.50893
35.668277;46.082312
28.3309;56.867423
36.844893;42.004372
36.844893;42.004372
36.832267;42.007275
36.81255;42.005516
36.781731;41.977974
36.784663;41.981784
36.784663;41.981784
36.765154;42.003261
36.776248;41.95864
36.758064;41.978469
36.791332;41.912711
36.791332;41.912711
30.12201;51.520724
30.252087;51.484392
36.98867132;42.491573
37.528454;38.659565
37.475928;38.715039
38.634579;39.418028
38.634579;39.418028
38.634579;39.418028
35.602121;35.785574
35.602121;35.785574
36.602352;37.174888
36.995725;37.977688
